run_id,timestamp,tc_step,peak_forcing,final_entropy_proxy,status
45,2026-04-08T12:54:45.308724,23,2.8881633288913715,2.4933104837799566e+23,COLLAPSE
46,2026-04-08T12:54:45.313801,20,2.918804286149744,3.189809806920983e+23,COLLAPSE
47,2026-04-08T12:54:45.314783,25,2.8053903489685563,1.8965435753726416e+23,COLLAPSE
48,2026-04-08T12:54:45.321539,23,2.6782336645478964,2.325136706401233e+23,COLLAPSE
49,2026-04-08T12:54:45.322494,23,2.5900111451506804,2.407169637186986e+23,COLLAPSE
50,2026-04-08T12:54:45.327436,23,2.65515809059573,2.1336360228215313e+23,COLLAPSE
51,2026-04-08T12:54:45.328386,18,2.895115194959886,4.404142002397339e+23,COLLAPSE
52,2026-04-08T12:54:45.333268,25,2.7937981331652915,1.8579978412695825e+23,COLLAPSE
53,2026-04-08T12:54:45.334196,28,2.9495391923839387,1.4966855899790973e+23,COLLAPSE
54,2026-04-08T12:54:45.339153,19,2.8899043902748924,3.3469570786059734e+23,COLLAPSE
55,2026-04-08T12:54:45.340054,17,2.734114206400234,4.342228573476604e+23,COLLAPSE
56,2026-04-08T12:54:45.343598,24,3.036973539118609,2.1640601871829933e+23,COLLAPSE
57,2026-04-08T12:54:45.344493,26,2.73995730817558,1.6945718593584632e+23,COLLAPSE
58,2026-04-08T12:54:45.347319,23,2.7462164414596444,2.3280745859298512e+23,COLLAPSE
59,2026-04-08T12:54:45.348182,31,2.530223226410011,1.0037848184085823e+23,COLLAPSE
60,2026-04-08T12:54:45.350068,42,2.877215715345195,3.176873428966151e+22,COLLAPSE
61,2026-04-08T12:54:45.350857,20,2.890996145605146,3.3722239836132315e+23,COLLAPSE
62,2026-04-08T12:54:45.351709,20,2.9028925814899362,3.243342905514875e+23,COLLAPSE
63,2026-04-08T12:54:45.354468,26,2.6451242865700393,1.8310270237131095e+23,COLLAPSE
64,2026-04-08T12:54:45.355285,19,2.8381724443423293,3.679632346752795e+23,COLLAPSE
65,2026-04-08T12:54:45.361359,20,3.195941927145606,3.374311089947544e+23,COLLAPSE
66,2026-04-08T12:54:45.362314,20,3.157258376013665,3.288501425834954e+23,COLLAPSE
67,2026-04-08T12:54:45.366892,26,2.830825297129743,1.6266398461887197e+23,COLLAPSE
68,2026-04-08T12:54:45.368773,29,2.6477047059452152,1.1881740330878288e+23,COLLAPSE
69,2026-04-08T12:54:45.369741,25,3.094277284455962,1.9522317833144326e+23,COLLAPSE
70,2026-04-08T12:54:45.374623,23,2.760513826586134,2.5415774195430865e+23,COLLAPSE
71,2026-04-08T12:54:45.375765,-1,3.002237346757707,-1.0406531648449928e+23,STABLE
72,2026-04-08T12:54:45.380624,24,2.750478919133044,2.152700809940617e+23,COLLAPSE
73,2026-04-08T12:54:45.381574,19,2.6270687276115345,3.679846738767056e+23,COLLAPSE
74,2026-04-08T12:54:45.386518,31,2.91226795221229,1.0594288227372695e+23,COLLAPSE
75,2026-04-08T12:54:45.387464,18,2.7435761771161493,4.3008168433568294e+23,COLLAPSE
76,2026-04-08T12:54:45.392378,31,2.949405105716116,1.003648624696191e+23,COLLAPSE
77,2026-04-08T12:54:45.393377,21,2.869943897083716,2.8404829482181874e+23,COLLAPSE
78,2026-04-08T12:54:45.398100,28,2.9023091948382453,1.3020385030183635e+23,COLLAPSE
79,2026-04-08T12:54:45.399034,21,2.6490695854344977,2.8156536939564424e+23,COLLAPSE
80,2026-04-08T12:54:45.402050,-1,2.5908818574831542,-3.2736649600731703e+22,STABLE
81,2026-04-08T12:54:45.404704,23,2.7963229261575875,2.419431629205318e+23,COLLAPSE
82,2026-04-08T12:54:45.405682,24,2.952044461323667,2.2471552408689268e+23,COLLAPSE
83,2026-04-08T12:54:45.408671,-1,2.8007222115171677,-8.029291183249692e+20,STABLE
84,2026-04-08T12:54:45.409701,22,3.0319151730591267,2.796434196144047e+23,COLLAPSE
85,2026-04-08T12:54:45.412557,22,2.679219062374028,2.558832710333154e+23,COLLAPSE
86,2026-04-08T12:54:45.418518,19,2.570665464068239,3.992959127061262e+23,COLLAPSE
87,2026-04-08T12:54:45.422764,21,3.094668047209109,2.9425691149261402e+23,COLLAPSE
88,2026-04-08T12:54:45.425761,26,3.4126238117226766,1.7032877766356894e+23,COLLAPSE
89,2026-04-08T12:54:45.429949,21,3.0396159380704577,2.962767382226649e+23,COLLAPSE
90,2026-04-08T12:54:45.433763,23,2.814010983150581,2.3368979516609323e+23,COLLAPSE
91,2026-04-08T12:54:45.434679,35,2.7418969751328675,6.348732537228321e+22,COLLAPSE
92,2026-04-08T12:54:45.435649,24,2.679508447542065,2.110074917701683e+23,COLLAPSE
93,2026-04-08T12:54:45.438521,17,2.6578832299213335,4.384101691854745e+23,COLLAPSE
94,2026-04-08T12:54:45.439503,20,2.885374484365316,3.461287469719141e+23,COLLAPSE
95,2026-04-08T12:54:45.442463,21,2.82931566103351,2.855855627845742e+23,COLLAPSE
96,2026-04-08T12:54:45.443345,29,2.862876926894636,1.2821168519563614e+23,COLLAPSE
97,2026-04-08T12:54:45.447674,33,2.758410705277363,7.914857901800183e+22,COLLAPSE
98,2026-04-08T12:54:45.448642,22,2.862651565963051,2.7819925050538155e+23,COLLAPSE
99,2026-04-08T12:54:45.451569,18,2.528994039917044,4.367843130583059e+23,COLLAPSE
